zip,bedrooms,bathrooms,sqft,lot_size,year_built,price,type_multi,type_single,type_townhouse
8844,3,1.5,1631,0.68,1911,427900.0,False,False,False
7168,2,1.0,1967,0.13,1921,925200.0,False,False,True
7456,2,1.0,641,0.33,1941,382300.0,False,False,False
7047,1,1.0,500,0.84,1921,185300.0,False,True,False
8780,1,1.0,938,0.98,1971,459500.0,False,True,False
7050,3,1.0,1179,0.4,1918,630500.0,False,False,False
7936,4,1.5,2077,0.18,1901,825500.0,False,True,False
8310,2,1.0,1105,0.14,2022,338100.0,False,True,False
7995,1,1.0,751,0.23,1969,311500.0,False,False,False
7750,4,1.0,2237,0.6,1946,908300.0,False,True,False
8865,2,1.0,1269,0.5,1930,833800.0,True,False,False
7078,3,1.5,2356,0.3,2012,823800.0,False,True,False
8878,2,1.0,1025,0.07,1957,634800.0,False,True,False
7939,1,1.0,813,0.23,2005,533400.0,False,True,False
8017,2,1.0,1189,0.43,1939,808400.0,False,False,False
7517,1,1.0,911,0.25,1952,526400.0,False,True,False
7289,5,3.0,2122,0.31,1924,1221600.0,False,False,False
8710,6,3.0,7964,0.3,1920,2200600.0,False,False,False
7780,2,1.0,963,0.07,1988,624600.0,False,True,False
8542,2,1.0,1609,0.87,1920,519300.0,False,True,False
7238,2,1.0,1180,0.09,1953,565000.0,False,True,False
7062,2,1.0,1455,0.35,2005,384000.0,False,True,False
8321,2,1.0,775,0.15,1958,321100.0,True,False,False
8019,1,1.0,500,0.22,1930,313600.0,False,True,False
7086,2,1.0,733,0.57,1971,457700.0,False,True,False
8941,1,1.0,1241,0.33,1998,840500.0,False,True,False
7755,3,1.0,2316,0.24,1901,847600.0,False,True,False
7870,1,1.0,1236,0.15,2021,328000.0,False,False,False
8268,1,1.0,1370,0.16,1994,517200.0,False,False,False
8953,4,1.0,2263,0.19,2012,740800.0,False,True,False
7648,1,1.0,938,0.22,1907,586900.0,False,True,False
7038,2,1.0,1856,0.52,1944,562700.0,False,False,True
8297,1,1.0,858,0.07,1936,275700.0,False,True,False
8884,2,1.0,959,0.49,2002,410000.0,False,True,False
8543,2,1.0,1163,0.1,1932,402100.0,False,False,False
7276,1,1.0,1355,0.12,1971,704300.0,False,True,False
8882,1,1.0,980,0.12,2010,389100.0,False,True,False
7432,3,1.5,1295,0.59,1964,489900.0,False,False,True
8894,2,1.0,586,0.25,1914,359600.0,False,False,False
7376,4,1.0,1587,0.15,1949,915600.0,False,False,False
8160,1,1.0,500,0.29,1993,208200.0,False,True,False
8769,1,1.0,570,0.3,1913,373800.0,False,False,False
7426,3,1.5,1017,0.12,1922,599900.0,False,False,False
7342,1,1.0,1223,0.26,1934,532300.0,False,True,False
8743,4,1.0,1635,0.7,1993,642700.0,False,True,False
7817,1,1.0,600,0.32,1923,299900.0,False,False,False
7450,1,1.0,895,0.21,2002,379400.0,True,False,False
7678,1,1.0,936,0.33,1977,644400.0,False,True,False
7774,1,1.0,732,0.11,1901,421100.0,False,True,False
7164,2,1.0,1016,0.79,1972,379900.0,False,True,False
7928,3,1.0,2097,0.32,1989,1036000.0,False,True,False
8274,1,1.0,743,0.22,1975,458400.0,False,False,True
7953,3,1.5,1057,0.47,1978,630700.0,False,True,False
8157,1,1.0,702,0.23,1950,289700.0,False,False,False
8537,2,1.0,539,1.3,1951,265700.0,False,False,False
8660,1,1.0,1192,0.25,2024,397500.0,False,True,False
8186,1,1.0,500,0.23,1941,199100.0,False,True,False
7260,2,1.0,1037,0.17,1906,451500.0,False,True,False
7736,6,2.0,4603,0.25,1923,2073500.0,False,False,False
7081,1,1.0,964,0.81,1936,337300.0,False,True,False
7772,2,1.0,1413,0.08,1911,516100.0,False,True,False
7290,3,1.5,1325,0.36,1971,667300.0,False,True,False
8887,2,1.0,658,1.09,1974,354800.0,False,True,False
7149,3,1.0,2368,0.25,1950,1429900.0,False,True,False
7912,2,1.0,1863,0.61,1985,785400.0,False,False,True
7124,4,2.0,1506,0.25,1934,987300.0,False,True,False
7799,1,1.0,703,0.15,1921,476300.0,False,False,False
7322,6,2.0,4001,0.66,2011,2083300.0,False,True,False
7632,1,1.0,1366,0.13,1958,853600.0,False,False,False
7216,1,1.0,970,0.33,1998,644300.0,False,True,False
8199,3,1.0,1557,0.11,1937,505200.0,False,True,False
8132,1,1.0,746,0.09,1957,309600.0,False,True,False
8211,5,1.5,2793,0.56,1947,991100.0,False,True,False
7382,3,1.0,1701,0.57,1976,985800.0,False,True,False
7785,2,1.0,884,0.16,1966,455700.0,False,False,True
7481,2,1.0,1925,0.26,1909,812400.0,False,True,False
8095,2,1.0,1034,0.19,1913,288700.0,False,True,False
8529,2,1.0,1919,0.22,1915,484000.0,False,False,True
8767,3,1.5,1328,0.55,2004,873300.0,False,True,False
8388,2,1.0,590,0.1,1975,286400.0,False,True,False
7010,4,1.5,1570,0.29,1951,612400.0,False,False,True
8730,4,2.0,1905,0.68,2018,1166500.0,False,True,False
8834,3,1.0,2318,0.1,1926,784500.0,False,True,False
7258,3,1.0,2445,0.43,1917,1028800.0,False,False,False
7446,3,1.5,1478,0.24,1903,828900.0,True,False,False
8728,4,1.0,2024,0.75,1922,569800.0,False,False,True
8223,1,1.0,500,0.07,1946,224400.0,False,True,False
8882,1,1.0,1360,0.07,1931,563700.0,False,False,False
8828,2,1.0,1258,0.05,2007,446100.0,False,False,True
7964,3,1.5,1985,0.62,1954,746400.0,False,False,True
7798,1,1.0,537,0.35,1993,269900.0,False,True,False
7094,3,1.0,1025,0.58,1901,591500.0,False,True,False
7799,3,1.5,1499,0.4,1986,993800.0,False,False,False
7059,4,1.5,1959,0.16,1947,549500.0,False,True,False
7429,2,1.0,1064,0.27,1916,477800.0,False,False,False
8779,1,1.0,1381,0.08,1948,347900.0,False,True,False
8365,1,1.0,545,0.14,1901,319100.0,False,True,False
8899,3,2.0,1644,0.07,2018,943600.0,False,False,False
8018,1,1.0,1291,0.12,1916,449600.0,False,False,False
7554,3,1.0,1863,0.27,1922,774200.0,False,True,False
7968,2,1.0,1323,0.38,1952,694900.0,False,False,False
7916,1,1.0,1322,0.11,1966,744700.0,False,False,True
7086,4,1.0,1704,0.34,2017,430500.0,False,True,False
7029,1,1.0,951,0.23,1938,433100.0,False,True,False
8745,1,1.0,722,0.23,1991,307600.0,False,True,False
8096,1,1.0,742,0.34,1922,430600.0,False,False,False
7989,2,1.0,1891,0.12,2008,735300.0,False,True,False
7917,5,2.5,2339,0.4,2020,992100.0,False,True,False
8298,1,1.0,900,0.31,2016,517800.0,False,True,False
8375,2,1.0,1517,0.31,1915,450900.0,False,True,False
7733,4,1.0,1630,0.16,1907,834200.0,False,False,False
8734,2,1.0,1664,1.08,1948,530400.0,True,False,False
8092,2,1.0,787,0.53,2004,369300.0,False,True,False
8552,1,1.0,826,0.21,1920,309900.0,True,False,False
8864,1,1.0,754,0.29,1994,330200.0,False,True,False
7743,3,1.0,1013,0.42,2005,492600.0,False,True,False
7013,2,1.0,1560,0.18,1974,797300.0,False,True,False
8156,2,1.0,500,0.27,1905,221700.0,False,False,False
8089,2,1.0,1547,0.25,2017,558500.0,False,True,False
7490,1,1.0,1253,0.27,1941,640000.0,False,False,True
8123,2,1.0,1037,0.16,2005,519600.0,False,False,True
8927,1,1.0,1348,0.06,1957,591500.0,False,False,True
7295,4,2.0,1500,0.75,1907,490800.0,False,False,True
7782,2,1.0,1524,0.54,2010,795000.0,False,False,False
8982,3,1.0,1012,0.34,1983,447000.0,False,True,False
7082,2,1.0,1404,0.84,1959,633700.0,False,False,True
7363,6,1.5,3880,0.38,2006,2048100.0,False,False,True
7983,3,1.5,1469,0.34,1910,835300.0,False,True,False
7512,1,1.0,782,0.13,2020,245000.0,False,True,False
7049,2,1.0,1042,0.64,1971,528400.0,False,True,False
8222,3,1.0,1648,0.39,1921,551200.0,False,False,True
7052,6,2.0,2698,0.2,1971,1120500.0,False,True,False
7091,3,1.5,1947,0.34,1928,723800.0,True,False,False
7258,1,1.0,887,0.3,1975,396400.0,False,False,False
7159,1,1.0,1400,0.06,1967,972700.0,False,True,False
7288,2,1.0,1514,0.34,2022,769400.0,False,True,False
7288,2,1.0,1705,0.09,1999,512700.0,False,False,False
7239,2,1.0,1929,0.22,1908,792200.0,False,True,False
7239,3,1.0,1972,0.35,2009,500500.0,False,False,False
7983,3,1.0,1730,0.21,1924,919800.0,False,False,False
8042,2,1.0,601,0.53,1959,420600.0,False,False,True
8816,2,1.0,883,0.17,2017,375000.0,False,True,False
7980,1,1.0,812,0.17,1991,547400.0,False,True,False
7019,2,1.0,552,0.45,1915,339500.0,True,False,False
8859,2,1.0,1369,0.52,1936,684700.0,False,False,False
8269,2,1.0,643,0.05,2019,371900.0,False,True,False
8256,1,1.0,1039,0.24,1941,452400.0,False,True,False
7098,5,2.0,3143,0.49,2005,991900.0,False,False,True
8224,1,1.0,631,0.21,1913,311900.0,False,True,False
8767,1,1.0,792,0.41,1985,549000.0,False,True,False
8177,2,1.0,1069,0.48,2006,479000.0,False,False,False
7369,2,1.0,1251,0.63,2007,710400.0,False,True,False
8374,1,1.0,500,0.46,1975,212100.0,False,True,False
8753,1,1.0,955,0.08,1950,315900.0,False,True,False
8724,1,1.0,678,0.21,1949,380300.0,False,True,False
7754,6,3.5,5472,0.24,2022,1450300.0,False,True,False
8220,3,1.5,1325,0.05,1981,592900.0,False,True,False
8243,2,1.0,1404,0.09,1913,471600.0,False,False,True
7419,2,1.0,1368,0.64,1956,731400.0,False,True,False
8091,3,1.5,1048,0.18,1944,577700.0,False,False,False
7150,2,1.0,799,0.05,2023,385500.0,True,False,False
7956,5,2.0,2187,0.33,1925,1155000.0,False,True,False
8276,3,1.5,1823,0.11,1954,729900.0,False,False,False
7780,3,1.0,2098,0.51,1919,737100.0,False,False,False
7222,4,1.5,1552,0.32,1949,765400.0,False,False,False
7473,3,1.5,1347,0.38,1904,599000.0,False,False,False
7989,1,1.0,725,0.42,1913,342900.0,False,False,True
7266,4,2.0,2435,0.64,1921,636700.0,False,False,False
7327,3,1.0,1363,0.38,1962,562400.0,False,False,True
7198,3,1.0,1705,0.41,1979,617800.0,True,False,False
7939,2,1.0,621,1.28,1959,349700.0,False,True,False
8358,1,1.0,806,0.34,1923,406800.0,True,False,False
8861,2,1.0,938,0.42,1950,552200.0,False,False,False
8854,2,1.0,649,0.22,2017,399300.0,False,True,False
8940,2,1.0,732,0.64,1916,489100.0,False,False,True
7039,2,1.0,595,0.28,1999,218900.0,False,True,False
7944,1,1.0,1356,0.17,1904,735700.0,False,True,False
8739,1,1.0,966,0.25,1912,669500.0,False,True,False
7060,1,1.0,801,0.17,1998,415400.0,False,True,False
8782,3,2.0,2157,0.25,2012,1238100.0,False,True,False
7955,1,1.0,1378,0.3,1992,883800.0,True,False,False
7085,2,1.0,1215,0.16,1992,621900.0,False,False,True
7349,3,1.5,1293,0.45,1919,670600.0,False,False,True
7059,1,1.0,883,0.25,1972,263900.0,False,True,False
7057,1,1.0,793,0.13,2014,501000.0,False,False,True
7017,6,2.5,3520,0.15,2000,2047100.0,False,True,False
7164,6,2.0,4164,0.66,1919,1198800.0,False,False,False
7128,2,1.0,1587,0.53,2013,931900.0,False,True,False
7767,1,1.0,904,0.31,1984,473900.0,False,False,False
8994,2,1.0,1739,0.29,1929,627400.0,False,False,False
8357,1,1.0,500,0.14,1959,147700.0,False,True,False
7748,3,1.0,1344,0.07,1942,512700.0,False,False,True
8841,4,1.0,1680,0.12,1937,790500.0,False,False,False
7688,4,2.5,2084,0.1,1919,664400.0,False,True,False
7217,5,2.0,3091,0.43,2020,996400.0,False,True,False
8126,1,1.0,964,0.34,1955,588500.0,False,True,False
8754,2,1.0,1057,0.23,2005,626900.0,False,False,False
8386,3,2.0,1090,0.33,1913,607200.0,False,True,False
7627,1,1.0,925,0.63,1989,484500.0,False,True,False
8969,3,1.0,1489,0.34,1982,781700.0,False,True,False
7984,4,2.0,1522,0.6,1993,595500.0,True,False,False
7344,2,1.0,1096,0.13,1921,362400.0,False,False,False
7024,3,1.5,2146,0.98,1966,1042100.0,False,False,True
8359,1,1.0,947,0.06,1991,629400.0,False,False,False
7415,6,3.0,2986,0.24,1954,1245400.0,False,True,False
8155,1,1.0,500,0.73,1921,266900.0,False,False,True
8847,4,2.0,1831,0.43,1901,722500.0,False,True,False
7136,1,1.0,592,0.19,1998,215500.0,False,False,False
8729,2,1.0,899,0.11,2001,359800.0,False,False,False
8975,1,1.0,1000,0.24,1903,605800.0,True,False,False
7185,5,3.0,2211,0.24,1964,1218800.0,False,True,False
7719,5,2.0,2323,0.09,1923,1345000.0,True,False,False
7640,3,1.0,2049,0.12,2007,1264100.0,False,False,False
7014,3,1.5,2250,0.12,1966,1318100.0,False,True,False
7973,3,1.0,1502,0.52,1998,837100.0,False,True,False
8686,2,1.0,911,0.66,1945,419100.0,False,True,False
7229,2,1.0,899,0.31,1961,620600.0,False,True,False
8787,3,1.5,2387,0.16,1924,1049800.0,False,False,False
7798,1,1.0,934,0.18,1905,452800.0,False,True,False
7763,2,1.0,1289,0.37,1997,883400.0,False,False,True
7785,3,1.0,1352,0.15,1988,772900.0,False,False,False
8623,2,1.0,638,0.36,1985,420600.0,False,False,False
7337,1,1.0,1341,0.34,2012,584600.0,False,False,False
7048,2,1.0,896,0.54,1991,599500.0,False,True,False
7923,1,1.0,708,0.19,1903,480300.0,False,False,False
7740,6,1.5,2717,0.13,1993,1329600.0,False,True,False
7357,3,1.5,2084,0.2,1916,1186000.0,False,True,False
8782,3,1.5,1046,0.36,1956,543200.0,False,True,False
8136,2,1.0,719,0.23,1950,381300.0,False,True,False
8853,2,1.0,1162,0.16,2018,637800.0,False,False,False
8829,3,1.5,1018,0.77,1909,641800.0,False,True,False
7121,4,2.0,2415,0.06,1970,644900.0,False,False,False
7787,1,1.0,956,3.22,2000,461700.0,False,True,False
7243,1,1.0,982,0.47,2007,424300.0,False,True,False
7865,1,1.0,568,0.77,1900,182200.0,False,True,False
7016,3,1.0,1466,0.05,1952,768600.0,False,True,False
8559,1,1.0,500,0.32,2003,276400.0,False,True,False
8944,3,1.0,1706,0.22,1924,607900.0,False,False,True
8831,3,1.5,1215,0.06,1977,614200.0,False,False,True
8941,2,1.0,1587,0.47,1960,625200.0,False,True,False
7285,4,2.0,2096,0.24,1902,1090800.0,False,False,False
7710,1,1.0,1315,0.3,1928,754200.0,False,False,False
8745,5,2.5,2815,0.16,1992,1458200.0,False,False,False
7441,4,2.5,1599,0.09,1914,837900.0,False,True,False
8323,2,1.0,695,0.32,1965,279500.0,False,True,False
8842,5,2.5,2116,0.18,1938,630000.0,False,False,True
8880,3,1.0,1072,0.31,1918,511000.0,False,True,False
7997,4,2.0,1510,0.31,1986,770600.0,False,False,False
7591,2,1.0,1179,0.24,1925,589300.0,False,True,False
7051,2,1.0,1941,0.23,2005,514600.0,False,True,False
7851,2,1.0,595,0.06,1903,176000.0,False,True,False
7973,3,1.0,1603,0.11,1998,953300.0,False,True,False
7461,1,1.0,803,0.23,1937,283900.0,False,True,False
8852,4,1.5,1954,0.06,1981,915400.0,False,False,False
7767,1,1.0,1220,0.76,1946,443100.0,False,True,False
7072,3,2.0,1344,0.14,1989,509900.0,False,False,True
7421,2,1.0,1262,0.28,1929,714000.0,False,True,False
7948,1,1.0,996,0.16,1924,550300.0,False,True,False
8831,4,2.0,1978,0.46,1953,1313000.0,False,False,True
8274,2,1.0,1110,0.24,2003,284200.0,False,False,True
7339,3,1.0,1456,0.07,1963,781600.0,False,True,False
7273,3,1.5,2404,0.19,1909,953000.0,False,True,False
7881,2,1.0,500,0.05,1917,227500.0,False,True,False
8238,5,2.5,2287,0.05,1972,785900.0,False,True,False
8882,2,1.0,1852,0.26,1941,526500.0,True,False,False
8387,1,1.0,984,0.38,1901,432600.0,False,True,False
7588,2,1.0,968,0.23,2003,651500.0,False,True,False
7477,2,1.0,919,0.05,1970,435300.0,False,True,False
8660,1,1.0,500,0.24,1980,218500.0,False,False,True
8986,1,1.0,896,1.21,2011,610300.0,False,True,False
8143,1,1.0,500,0.08,1934,114500.0,False,True,False
8780,1,1.0,1258,0.58,2024,591800.0,False,True,False
7917,4,1.5,1736,0.12,1969,478200.0,False,True,False
8913,1,1.0,1007,0.1,1994,532300.0,False,False,False
8196,1,1.0,500,0.22,1987,254900.0,True,False,False
8841,3,1.0,2450,0.08,1920,621600.0,False,True,False
8982,2,1.0,1207,0.14,2018,726000.0,False,True,False
8315,2,1.0,846,0.28,1974,304900.0,False,False,False
8884,2,1.0,1662,0.53,1907,812000.0,False,True,False
7227,4,2.5,1665,0.5,2003,692300.0,False,False,False
8026,1,1.0,864,0.21,1970,500500.0,False,False,False
7059,5,1.5,2990,0.15,1913,1115600.0,False,True,False
8954,4,1.5,2475,0.05,1919,839300.0,True,False,False
7882,2,1.0,500,0.08,2010,243700.0,False,True,False
7123,3,1.0,1314,0.58,2004,708500.0,False,True,False
7870,2,1.0,1032,0.44,1942,312800.0,False,True,False
7427,2,1.0,918,0.4,2014,452600.0,False,False,False
7723,2,1.0,1108,0.42,2021,681100.0,False,True,False
8291,1,1.0,1275,0.12,1974,680700.0,False,True,False
7194,2,1.0,1510,0.78,1998,808600.0,False,True,False
8598,1,1.0,1265,1.35,1926,594000.0,False,False,True
8324,1,1.0,513,0.14,1920,316600.0,False,True,False
8362,2,1.0,785,0.11,1906,416500.0,False,True,False
7474,1,1.0,708,1.23,1951,404900.0,False,True,False
8148,1,1.0,500,0.08,2024,234600.0,False,True,False
8843,1,1.0,598,0.84,2020,300400.0,False,True,False
7725,2,1.0,1057,0.31,1939,503800.0,False,True,False
8124,3,1.5,1373,0.16,1958,711400.0,False,False,True
8511,2,1.0,997,0.05,2010,619900.0,False,False,True
7338,1,1.0,1307,0.15,1912,885900.0,False,False,False
8593,3,1.5,1134,0.23,1973,620300.0,False,True,False
7949,3,2.0,1252,0.3,1924,557800.0,False,False,True
7426,1,1.0,1113,0.61,1901,578000.0,False,True,False
8650,2,1.0,515,0.25,1949,245500.0,False,True,False
8692,2,1.0,793,0.58,1967,499200.0,False,False,False
8254,1,1.0,1456,0.16,1926,1013300.0,False,True,False
7591,3,1.0,1002,0.1,1951,631100.0,False,True,False
7050,2,1.0,1087,0.13,1915,652200.0,False,True,False
7225,1,1.0,1115,1.07,2007,589800.0,False,True,False
7280,6,1.5,3285,0.36,1998,1708400.0,False,True,False
7747,1,1.0,891,0.25,1934,596700.0,False,False,False
8632,1,1.0,778,0.2,1949,438600.0,False,True,False
7172,4,1.5,1602,0.67,2013,797800.0,False,True,False
8310,1,1.0,775,0.14,1925,223500.0,False,True,False
7360,3,1.0,1707,0.25,1999,1043500.0,False,False,False
8959,1,1.0,797,0.09,1936,364700.0,False,False,False
8195,1,1.0,500,0.13,1990,206000.0,False,False,False
8879,2,1.0,1325,0.19,1913,600200.0,False,True,False
8331,1,1.0,500,0.22,1954,202800.0,False,True,False
8970,2,1.0,1377,0.49,1939,672900.0,False,True,False
8588,1,1.0,642,0.3,1966,266900.0,False,True,False
8030,3,1.5,1160,0.4,2013,398700.0,False,False,False
7039,4,1.0,2848,0.23,2003,1644200.0,False,False,True
8948,3,1.0,1303,0.18,1969,455300.0,False,False,True
8719,3,1.5,1993,0.19,1930,1148300.0,False,False,False
8099,1,1.0,636,0.1,1981,418000.0,False,False,False
8283,2,1.0,1366,0.16,1983,508600.0,True,False,False
7937,1,1.0,811,0.36,1900,519500.0,False,True,False
